epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,620.749,0.59069,0.52026,0.96603,0.93449,0.97697,0.97686,0.85332,0.59203,0.4768,0.83219,0.000742625,0.000742625,0.000742625
43,635.245,0.59029,0.52154,0.97831,0.92383,0.96749,0.97168,0.8558,0.58019,0.51776,0.83359,0.00073025,0.00073025,0.00073025
44,649.874,0.5971,0.52169,0.96751,0.93521,0.95345,0.96993,0.85656,0.55739,0.47898,0.8287,0.000717875,0.000717875,0.000717875
45,664.474,0.59719,0.53917,0.97991,0.94334,0.96395,0.96994,0.85864,0.56853,0.50837,0.84331,0.0007055,0.0007055,0.0007055
46,678.874,0.59428,0.51268,0.97837,0.95335,0.9633,0.98072,0.86366,0.55282,0.47539,0.81066,0.000693125,0.000693125,0.000693125
47,693.394,0.57411,0.48843,0.95749,0.9515,0.97652,0.98288,0.87313,0.52687,0.40704,0.80206,0.00068075,0.00068075,0.00068075
48,708.133,0.54977,0.49574,0.9649,0.95086,0.96364,0.97165,0.85314,0.55105,0.46115,0.80816,0.000668375,0.000668375,0.000668375
49,722.741,0.56083,0.488,0.96623,0.94372,0.97064,0.98188,0.87868,0.51654,0.42576,0.8077,0.000656,0.000656,0.000656
50,737.308,0.54904,0.47007,0.95599,0.94199,0.9674,0.97706,0.87646,0.51616,0.42915,0.80399,0.000643625,0.000643625,0.000643625
51,751.997,0.56355,0.50487,0.96188,0.94699,0.95724,0.97738,0.86479,0.56841,0.46006,0.84719,0.00063125,0.00063125,0.00063125
52,766.942,0.55349,0.49073,0.96811,0.93108,0.95395,0.96997,0.86945,0.5233,0.46191,0.82922,0.000618875,0.000618875,0.000618875
53,781.537,0.56091,0.48755,0.9549,0.92674,0.97877,0.98016,0.87132,0.52454,0.41507,0.82724,0.0006065,0.0006065,0.0006065
54,796.216,0.55172,0.47341,0.95047,0.97112,0.95289,0.98392,0.87593,0.54871,0.42283,0.81393,0.000594125,0.000594125,0.000594125
55,810.845,0.5463,0.46084,0.94568,0.97693,0.94138,0.98574,0.88618,0.52804,0.38332,0.82263,0.00058175,0.00058175,0.00058175
56,825.674,0.54567,0.48106,0.95391,0.96024,0.95498,0.9805,0.87272,0.49577,0.40815,0.80277,0.000569375,0.000569375,0.000569375
57,840.265,0.54602,0.47441,0.9526,0.92856,0.97368,0.98149,0.87308,0.51709,0.40599,0.80762,0.000557,0.000557,0.000557
58,854.96,0.53918,0.45723,0.95395,0.93615,0.96435,0.97696,0.88263,0.48842,0.41747,0.79816,0.000544625,0.000544625,0.000544625
59,869.593,0.5259,0.45927,0.94193,0.94933,0.9631,0.97879,0.87886,0.5137,0.43185,0.80014,0.00053225,0.00053225,0.00053225
60,884.142,0.52324,0.45483,0.94765,0.95848,0.96039,0.98353,0.88635,0.51953,0.38085,0.82348,0.000519875,0.000519875,0.000519875
61,898.696,0.51965,0.45101,0.94308,0.95702,0.9671,0.98763,0.88179,0.50342,0.38006,0.79763,0.0005075,0.0005075,0.0005075
62,913.348,0.51884,0.46205,0.93891,0.95889,0.96201,0.98326,0.8736,0.50962,0.40968,0.79394,0.000495125,0.000495125,0.000495125
63,928.071,0.53411,0.45576,0.95216,0.95362,0.9634,0.98417,0.88425,0.50013,0.40355,0.77949,0.00048275,0.00048275,0.00048275
64,942.553,0.51804,0.4484,0.93949,0.91774,0.97623,0.98525,0.88327,0.50777,0.39207,0.78798,0.000470375,0.000470375,0.000470375
65,956.939,0.49088,0.41555,0.92429,0.92471,0.97526,0.98115,0.88806,0.49562,0.39687,0.79227,0.000458,0.000458,0.000458
66,971.99,0.51359,0.4324,0.94239,0.95274,0.97687,0.98339,0.88592,0.51439,0.37207,0.77961,0.000445625,0.000445625,0.000445625
67,986.5,0.49254,0.42856,0.93618,0.92551,0.98026,0.98343,0.89191,0.47222,0.38004,0.78033,0.00043325,0.00043325,0.00043325
68,1001.42,0.51413,0.42892,0.93856,0.93328,0.98481,0.98446,0.89288,0.48811,0.35594,0.80128,0.000420875,0.000420875,0.000420875
69,1015.77,0.50161,0.41688,0.94234,0.95194,0.9572,0.98087,0.89171,0.4797,0.3946,0.8141,0.0004085,0.0004085,0.0004085
70,1030.62,0.49661,0.42137,0.93547,0.93594,0.9688,0.98272,0.89007,0.49096,0.37703,0.81213,0.000396125,0.000396125,0.000396125
71,1045.5,0.5008,0.41055,0.93589,0.92612,0.97986,0.98192,0.88743,0.47387,0.36739,0.7864,0.00038375,0.00038375,0.00038375
72,1060.14,0.48502,0.4145,0.92378,0.93268,0.97131,0.98427,0.89709,0.51129,0.38818,0.79855,0.000371375,0.000371375,0.000371375
73,1075.16,0.48456,0.42045,0.9274,0.94742,0.96641,0.98699,0.89285,0.48451,0.35834,0.79611,0.000359,0.000359,0.000359
74,1089.9,0.48287,0.40627,0.9309,0.93788,0.97588,0.98317,0.90482,0.4666,0.36734,0.78584,0.000346625,0.000346625,0.000346625
75,1104.54,0.46158,0.40431,0.92003,0.93637,0.97057,0.98569,0.901,0.49059,0.36383,0.79657,0.00033425,0.00033425,0.00033425
76,1119.03,0.46553,0.39135,0.92588,0.94365,0.97644,0.98173,0.90021,0.48017,0.36716,0.78741,0.000321875,0.000321875,0.000321875
77,1133.62,0.4801,0.38963,0.92895,0.9396,0.97922,0.9812,0.90079,0.47117,0.35863,0.78686,0.0003095,0.0003095,0.0003095
78,1148.4,0.47653,0.40519,0.92309,0.94092,0.96947,0.9861,0.90114,0.46831,0.35141,0.794,0.000297125,0.000297125,0.000297125
79,1162.98,0.45675,0.38807,0.91799,0.9277,0.98355,0.98388,0.90258,0.45983,0.34729,0.78858,0.00028475,0.00028475,0.00028475
80,1177.42,0.47631,0.38752,0.92265,0.9371,0.99013,0.98845,0.90763,0.46662,0.32453,0.79984,0.000272375,0.000272375,0.000272375
81,1192.06,0.47067,0.38355,0.92396,0.92477,0.9819,0.98153,0.89507,0.45731,0.35991,0.79254,0.00026,0.00026,0.00026
82,1206.56,0.46427,0.39286,0.92436,0.93109,0.98684,0.98347,0.90907,0.45099,0.33728,0.7814,0.000247625,0.000247625,0.000247625
83,1221.26,0.46351,0.38949,0.92095,0.94938,0.98271,0.98624,0.90819,0.46678,0.32833,0.78499,0.00023525,0.00023525,0.00023525
84,1235.81,0.45778,0.38489,0.91761,0.94018,0.97825,0.98367,0.90888,0.47278,0.3285,0.8022,0.000222875,0.000222875,0.000222875
85,1250.43,0.441,0.37202,0.90236,0.95454,0.97301,0.9813,0.90781,0.46817,0.32464,0.80295,0.0002105,0.0002105,0.0002105
86,1264.93,0.43898,0.3649,0.9138,0.93585,0.97949,0.98486,0.90477,0.45314,0.32339,0.79068,0.000198125,0.000198125,0.000198125
87,1279.39,0.4504,0.36411,0.91408,0.93824,0.97257,0.98291,0.90252,0.46704,0.35265,0.79218,0.00018575,0.00018575,0.00018575
88,1293.9,0.42945,0.35999,0.90945,0.9389,0.98414,0.98858,0.91021,0.45194,0.3218,0.77969,0.000173375,0.000173375,0.000173375
89,1308.64,0.44719,0.36617,0.91011,0.93894,0.98484,0.98767,0.90599,0.4429,0.31174,0.77726,0.000161,0.000161,0.000161
90,1323.2,0.43121,0.36178,0.90325,0.93748,0.98613,0.98607,0.90931,0.43396,0.3135,0.77356,0.000148625,0.000148625,0.000148625
91,1339.02,0.38717,0.30026,0.87365,0.93431,0.98537,0.98809,0.91197,0.43599,0.32953,0.77659,0.00013625,0.00013625,0.00013625
92,1353.34,0.38868,0.27963,0.86462,0.93418,0.98355,0.98705,0.90849,0.44514,0.33751,0.78047,0.000123875,0.000123875,0.000123875
93,1367.37,0.37097,0.26813,0.85432,0.94836,0.98016,0.98837,0.90545,0.44878,0.32075,0.78965,0.0001115,0.0001115,0.0001115
94,1381.56,0.36757,0.26389,0.85233,0.93113,0.98026,0.98596,0.91744,0.4413,0.3374,0.79289,9.9125e-05,9.9125e-05,9.9125e-05
95,1397.35,0.37339,0.26845,0.84996,0.93184,0.97631,0.98514,0.91086,0.43186,0.32274,0.78265,8.675e-05,8.675e-05,8.675e-05
96,1411.5,0.35932,0.26395,0.85475,0.94361,0.96656,0.98466,0.91524,0.42802,0.31731,0.78146,7.4375e-05,7.4375e-05,7.4375e-05
97,1425.76,0.36271,0.26142,0.85133,0.93772,0.97697,0.98486,0.91421,0.42693,0.32009,0.7831,6.2e-05,6.2e-05,6.2e-05
98,1439.92,0.35736,0.25405,0.84937,0.93918,0.98355,0.98607,0.91642,0.42307,0.31189,0.78094,4.9625e-05,4.9625e-05,4.9625e-05
99,1454.12,0.34848,0.25208,0.84729,0.93543,0.98125,0.9858,0.9162,0.4272,0.31713,0.78262,3.725e-05,3.725e-05,3.725e-05
100,1468.34,0.34252,0.24753,0.84127,0.93619,0.98355,0.98619,0.91516,0.42394,0.30834,0.78427,2.4875e-05,2.4875e-05,2.4875e-05
